"V1","V2"
"Start Date","Start Date"
"End Date","End Date"
"Response Type","Response Type"
"IP Address","IP Address"
"Progress","Progress"
"Duration (in seconds)","Duration (in seconds)"
"Finished","Finished"
"Recorded Date","Recorded Date"
"Response ID","Response ID"
"Recipient Last Name","Recipient Last Name"
"Recipient First Name","Recipient First Name"
"Recipient Email","Recipient Email"
"External Data Reference","External Data Reference"
"Location Latitude","Location Latitude"
"Location Longitude","Location Longitude"
"Distribution Channel","Distribution Channel"
"User Language","User Language"
"Do you currently have any pets?","Do you currently have any pets?"
"Please select all the pets that you currently have: - Dog","Please select all the pets that you currently have: - Dog"
"Please select all the pets that you currently have: - Cat","Please select all the pets that you currently have: - Cat"
"Please select all the pets that you currently have: - Horse","Please select all the pets that you currently have: - Horse"
"Please select all the pets that you currently have: - Fish","Please select all the pets that you currently have: - Fish"
"Please select all the pets that you currently have: - Small animal (e.g., rabbit, hamster, bird)","Please select all the pets that you currently have: - Small animal (e.g., rabbit, hamster, bird)"
"Please select all the pets that you currently have: - Other","Please select all the pets that you currently have: - Other"
"I go to bed at: - TIME (HH:MM)","I go to bed at: - TIME (HH:MM)"
"I go to bed at: - PM/AM","I go to bed at: - PM/AM"
"I actually start trying to fall asleep at: - TIME (HH:MM)","I actually start trying to fall asleep at: - TIME (HH:MM)"
"I actually start trying to fall asleep at: - PM/AM","I actually start trying to fall asleep at: - PM/AM"
"I need ____ minutes to fall asleep.","I need _____ minutes to fall asleep."
"After falling asleep, I wake up ____ times during the night.","After falling asleep, I wake up ___ times during the night."
"Altogether, these awakenings last ___ minutes.","Altogether these awakenings last ____ minutes."
"I wake up at: - TIME (HH:MM)","I wake up at: - TIME (HH:MM)"
"I wake up at: - PM/AM","I wake up at: - PM/AM"
"After ____ minutes I get up.","After ____ minutes I get up."
"I start work/schoolwork at: - TIME (HH:MM)","I start my schoolwork at: - TIME (HH:MM)"
"Please answer the following questions about the way things were over the past week. - I kept a morning routine (that is, I usually did the same thing each morning)...","Please answer the following questions about the way things were over the past week. - I kept a morning routine (that is, I usually did the same thing each morning)..."
"Please answer the following questions about the way things were over the past week. - I kept a bedtime routine (that is, I usually did the same thing each night before bed)...","Please answer the following questions about the way things were over the past week. - I kept a bedtime routine (that is, I usually did the same thing each night before bed)..."
"Please answer the following questions about the way things were over the past week. - I participated in family activities...","Please answer the following questions about the way things were over the past week. - I participated in family activities..."
"Please answer the following questions about the way things were over the past week. - I had regular meals...","Please answer the following questions about the way things were over the past week. - I had regular meals..."
"Please answer the following questions about the way things were over the past week. - I did outdoor activities...","Please answer the following questions about the way things were over the past week. - I did outdoor activities..."
"Please answer the following questions about the way things were over the past week. - I worried that my family would not have enough money to pay for necessities like clothing or bills...","Please answer the following questions about the way things were over the past week. - I worried that my family would not have enough money to pay for necessities like clothing or bills..."
"Please answer the following questions about the way things were over the past week. - I witnessed racism or discrimination in relation to coronavirus...","Please answer the following questions about the way things were over the past week. - I witnessed racism or discrimination in relation to coronavirus..."
"Please answer the following questions about the way things were over the past week. - I experienced racism or discrimination in relation to coronavirus...","Please answer the following questions about the way things were over the past week. - I experienced racism or discrimination in relation to coronavirus..."
"In the last week, the relationships between members of your family are:","In the last week, the relationships between members of your family are:"
"In the last week, your friendships are:","In the last week, your friendships are:"
"Are you separated from a close family member (like can't be together with a partner, or can't visit a close family member)?","Are you separated from a close family member (like can't be together with a parent, or can't visit a close family member)?"
"Was this a mostly good or bad experience?","Was this a mostly good or bad experience?"
"How much has this affected you?","How much has this affected you?"
"Is this due to the coronavirus situation?","Is this due to the coronavirus situation?"
"In the past week: - How worried have you been about coronavirus (COVID-19)?","In the past week: - How worried have you been about coronavirus (COVID-19)?"
"In the past week: - How worried have others around you been about coronavirus (COVID-19)?","In the past week: - How worried have others around you been about coronavirus (COVID-19)?"
"In the past week: - How much do you think your life has changed due to coronavirus (COVID-19)?","In the past week: - How much do you think your life has changed due to the coronavirus (COVID-19?"
"In the past week: - How hopeful are you that the coronavirus/COVID-19 crisis in your area will end soon?","In the past week: - How hopeful are you that the coronavirus/COVID-19 crisis in your area will end soon?"
"COVID-19 presents a lot of uncertainty about the future. In the past 7 days, including today, how stressful have you found this uncertainty to be?","COVID-19 presents a lot of uncertainty about the future. In the past 7 days, including today, how stressful have you found this uncertainty to be?"
"These questions ask about your feelings and thoughts in the last month. Please indicate how often you felt or thought a certain way. - In the last month, how often have you felt that you were unable to control the important things in your life?","These questions ask about your feelings and thoughts in the last month. Please indicate how often you felt or though a certain way. - In the last month, how often have you felt that you were unable to control the important things in your life?"
"These questions ask about your feelings and thoughts in the last month. Please indicate how often you felt or thought a certain way. - In the last month, how often have you felt confident about your ability to handle your personal problems?","These questions ask about your feelings and thoughts in the last month. Please indicate how often you felt or though a certain way. - In the last month, how often have you felt confident about your ability to handle your personal problems?"
"These questions ask about your feelings and thoughts in the last month. Please indicate how often you felt or thought a certain way. - In the last month, how often have you felt that things were going your way?","These questions ask about your feelings and thoughts in the last month. Please indicate how often you felt or though a certain way. - In the last month, how often have you felt that things were going your way?"
"These questions ask about your feelings and thoughts in the last month. Please indicate how often you felt or thought a certain way. - In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?","These questions ask about your feelings and thoughts in the last month. Please indicate how often you felt or though a certain way. - In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?"
"In the past week... - I felt like I couldn't do anything right","In the past week... - I felt like I couldn't do anything right"
"In the past week... - I felt everything in my life went wrong","In the past week... - I felt everything in my life went wrong"
"In the past week... - I felt unhappy","In the past week... - I felt unhappy"
"In the past week... - I felt lonely","In the past week... - I felt lonely"
"In the past week... - I felt sad","In the past week... - I felt sad"
"In the past week... - I felt alone","In the past week... - I felt alone"
"In the past week... - I could not stop feeling sad","In the past week... - I could not stop feeling sad"
"In the past week... - It was hard for me to have fun","In the past week... - It was hard for me to have fun"
"In the past week... - I felt angry or frustrated","In the past week... - I felt angry or frustrated"
"How do you think your mental health (emotional well-being) is in the past week compared to normal?","How do you think your mental health (emotional well-being) is in the past week compared to normal?"
"Next are items that describe how you might feel. Please rate how each item describes you now or within the past week. Please answer with one of the following options: Not True, Somewhat True, or Very True. - I felt attentive (that is, alert or able to pay attention)","Next are items that describe how kids might feel. Please rate how each item describes you now or within the past week. Please answer with one of the following options: Not True, Somewhat True, or Very True. - I felt attentive (that is, alert or able to pay attention)"
"Next are items that describe how you might feel. Please rate how each item describes you now or within the past week. Please answer with one of the following options: Not True, Somewhat True, or Very True. - I felt delighted","Next are items that describe how kids might feel. Please rate how each item describes you now or within the past week. Please answer with one of the following options: Not True, Somewhat True, or Very True. - I felt delighted"
"Next are items that describe how you might feel. Please rate how each item describes you now or within the past week. Please answer with one of the following options: Not True, Somewhat True, or Very True. - I felt calm","Next are items that describe how kids might feel. Please rate how each item describes you now or within the past week. Please answer with one of the following options: Not True, Somewhat True, or Very True. - I felt calm"
"Next are items that describe how you might feel. Please rate how each item describes you now or within the past week. Please answer with one of the following options: Not True, Somewhat True, or Very True. - I felt at ease (Definition: relaxed, comfortable)","Next are items that describe how kids might feel. Please rate how each item describes you now or within the past week. Please answer with one of the following options: Not True, Somewhat True, or Very True. - I felt at ease (Definition: relaxed, comfortable)"
"Next are items that describe how you might feel. Please rate how each item describes you now or within the past week. Please answer with one of the following options: Not True, Somewhat True, or Very True. - I felt enthusiastic (Definition: very excited)","Next are items that describe how kids might feel. Please rate how each item describes you now or within the past week. Please answer with one of the following options: Not True, Somewhat True, or Very True. - I felt enthusiastic (Definition: very excited)"
"Next are items that describe how you might feel. Please rate how each item describes you now or within the past week. Please answer with one of the following options: Not True, Somewhat True, or Very True. - I felt interested","Next are items that describe how kids might feel. Please rate how each item describes you now or within the past week. Please answer with one of the following options: Not True, Somewhat True, or Very True. - I felt interested"
"Next are items that describe how you might feel. Please rate how each item describes you now or within the past week. Please answer with one of the following options: Not True, Somewhat True, or Very True. - I felt confident","Next are items that describe how kids might feel. Please rate how each item describes you now or within the past week. Please answer with one of the following options: Not True, Somewhat True, or Very True. - I felt confident"
"Next are items that describe how you might feel. Please rate how each item describes you now or within the past week. Please answer with one of the following options: Not True, Somewhat True, or Very True. - I felt energetic","Next are items that describe how kids might feel. Please rate how each item describes you now or within the past week. Please answer with one of the following options: Not True, Somewhat True, or Very True. - I felt energetic"
"Next are items that describe how you might feel. Please rate how each item describes you now or within the past week. Please answer with one of the following options: Not True, Somewhat True, or Very True. - I felt able to concentrate","Next are items that describe how kids might feel. Please rate how each item describes you now or within the past week. Please answer with one of the following options: Not True, Somewhat True, or Very True. - I felt able to concentrate"
"In the past week... - I felt scared","In the past week... - I felt scared"
"In the past week... - I worried about what could happen to me","In the past week... - I worried about what could happen to me"
"In the past week... - I felt worried","In the past week... - I felt worried"
"In the past week... - I felt like something awful might happen","In the past week... - I felt like something awful might happen"
"In the past week... - I worried when I went to bed at night","In the past week... - I worried when I went to bed at night"
"In the past week... - I felt nervous","In the past week... - I felt nervous"
"In the past week... - I worried when I was at home","In the past week... - I worried when I was at home"
"In the past week... - I got scared really easily","In the past week... - I got scared really easily"
"Below is a list of comments made by people after a stressful life event. Thinking about the coronavirus situation, please check each item showing how often these comments were true for you in the past week. If they did not occur this week, check ""not at all"". - Do you think about it even when you don't mean to?","Below is a list of comments made by people after a stressful life event. Thinking about the coronavirus situation, please check each item showing how often these comments were true for you in the past week. If they did not occur this week, check ""not at all"". - Do you think about it even when you don't mean to?"
